Loading data...
Dataset size: 25979, Train DL size: 20784, Test DL size: 5195
Finished loading data!
Training model...
Epoch [198/1000], Loss: 1.0406, Train error: 0.5427, Test error: 0.5367
Epoch [199/1000], Loss: 1.1138, Train error: 0.5427, Test error: 0.5367
Epoch [200/1000], Loss: 1.0270, Train error: 0.5427, Test error: 0.5367
Epoch [201/1000], Loss: 1.1132, Train error: 0.5427, Test error: 0.5367
Epoch [202/1000], Loss: 1.0714, Train error: 0.5427, Test error: 0.5367
Epoch [203/1000], Loss: 1.0364, Train error: 0.5427, Test error: 0.5367
Epoch [204/1000], Loss: 1.0001, Train error: 0.5427, Test error: 0.5367
Epoch [205/1000], Loss: 1.0141, Train error: 0.5427, Test error: 0.5367
Epoch [206/1000], Loss: 1.1205, Train error: 0.5427, Test error: 0.5367
Epoch [207/1000], Loss: 1.0746, Train error: 0.5427, Test error: 0.5367
Epoch [208/1000], Loss: 1.0433, Train error: 0.5427, Test error: 0.5367
Epoch [209/1000], Loss: 1.0641, Train error: 0.5427, Test error: 0.5367
Epoch [210/1000], Loss: 1.0748, Train error: 0.5427, Test error: 0.5367
Epoch [211/1000], Loss: 1.0212, Train error: 0.5427, Test error: 0.5367
Epoch [212/1000], Loss: 1.0342, Train error: 0.5427, Test error: 0.5367
Epoch [213/1000], Loss: 1.0767, Train error: 0.5427, Test error: 0.5367
Epoch [214/1000], Loss: 1.0726, Train error: 0.5427, Test error: 0.5367
Epoch [215/1000], Loss: 1.0194, Train error: 0.5427, Test error: 0.5367
Epoch [216/1000], Loss: 1.0038, Train error: 0.5427, Test error: 0.5367
Epoch [217/1000], Loss: 1.0770, Train error: 0.5427, Test error: 0.5367
Epoch [218/1000], Loss: 1.0157, Train error: 0.5427, Test error: 0.5367
Epoch [219/1000], Loss: 1.1052, Train error: 0.5427, Test error: 0.5367
Epoch [220/1000], Loss: 1.0464, Train error: 0.5427, Test error: 0.5367
Epoch [221/1000], Loss: 1.0292, Train error: 0.5427, Test error: 0.5367
Epoch [222/1000], Loss: 1.0587, Train error: 0.5427, Test error: 0.5367
Epoch [223/1000], Loss: 1.0449, Train error: 0.5427, Test error: 0.5367
Epoch [224/1000], Loss: 1.1126, Train error: 0.5427, Test error: 0.5367
Epoch [225/1000], Loss: 0.9741, Train error: 0.5427, Test error: 0.5367
Epoch [226/1000], Loss: 0.9900, Train error: 0.5427, Test error: 0.5367
Epoch [227/1000], Loss: 1.0623, Train error: 0.5427, Test error: 0.5367
Epoch [228/1000], Loss: 1.0535, Train error: 0.5427, Test error: 0.5367
Epoch [229/1000], Loss: 1.0411, Train error: 0.5427, Test error: 0.5367
Epoch [230/1000], Loss: 0.9906, Train error: 0.5427, Test error: 0.5367
Epoch [231/1000], Loss: 1.0074, Train error: 0.5427, Test error: 0.5367
Epoch [232/1000], Loss: 0.9585, Train error: 0.5427, Test error: 0.5367
Epoch [233/1000], Loss: 1.1050, Train error: 0.5427, Test error: 0.5367
Epoch [234/1000], Loss: 1.0235, Train error: 0.5427, Test error: 0.5367
Epoch [235/1000], Loss: 1.0685, Train error: 0.5427, Test error: 0.5367
Epoch [236/1000], Loss: 1.0628, Train error: 0.5427, Test error: 0.5367
Epoch [237/1000], Loss: 1.1037, Train error: 0.5427, Test error: 0.5367
Epoch [238/1000], Loss: 1.0247, Train error: 0.5427, Test error: 0.5367
Epoch [239/1000], Loss: 1.0103, Train error: 0.5427, Test error: 0.5367
Epoch [240/1000], Loss: 1.1004, Train error: 0.5427, Test error: 0.5367
Epoch [241/1000], Loss: 1.0749, Train error: 0.5427, Test error: 0.5367
Epoch [242/1000], Loss: 1.0538, Train error: 0.5427, Test error: 0.5367
Epoch [243/1000], Loss: 1.0515, Train error: 0.5427, Test error: 0.5367
Epoch [244/1000], Loss: 0.9993, Train error: 0.5427, Test error: 0.5367
Epoch [245/1000], Loss: 1.0900, Train error: 0.5427, Test error: 0.5367
Epoch [246/1000], Loss: 1.0523, Train error: 0.5427, Test error: 0.5367
Epoch [247/1000], Loss: 1.0898, Train error: 0.5427, Test error: 0.5367
Epoch [248/1000], Loss: 1.0106, Train error: 0.5427, Test error: 0.5367
Epoch [249/1000], Loss: 1.0627, Train error: 0.5427, Test error: 0.5367
Epoch [250/1000], Loss: 1.0421, Train error: 0.5427, Test error: 0.5367
Epoch [251/1000], Loss: 1.0017, Train error: 0.5427, Test error: 0.5367
Epoch [252/1000], Loss: 1.0525, Train error: 0.5427, Test error: 0.5367
Epoch [253/1000], Loss: 1.0952, Train error: 0.5427, Test error: 0.5367
Epoch [254/1000], Loss: 1.0267, Train error: 0.5427, Test error: 0.5367
Epoch [255/1000], Loss: 1.0587, Train error: 0.5427, Test error: 0.5367
Epoch [256/1000], Loss: 1.0274, Train error: 0.5427, Test error: 0.5367
Epoch [257/1000], Loss: 1.0782, Train error: 0.5427, Test error: 0.5367
Epoch [258/1000], Loss: 1.0803, Train error: 0.5427, Test error: 0.5367
Epoch [259/1000], Loss: 1.0874, Train error: 0.5427, Test error: 0.5367
Epoch [260/1000], Loss: 1.1070, Train error: 0.5427, Test error: 0.5367
Epoch [261/1000], Loss: 1.0682, Train error: 0.5427, Test error: 0.5367
Epoch [262/1000], Loss: 1.0332, Train error: 0.5427, Test error: 0.5367
Epoch [263/1000], Loss: 1.0155, Train error: 0.5427, Test error: 0.5367
Epoch [264/1000], Loss: 1.0295, Train error: 0.5427, Test error: 0.5367
Epoch [265/1000], Loss: 1.1114, Train error: 0.5427, Test error: 0.5367
Epoch [266/1000], Loss: 1.1121, Train error: 0.5427, Test error: 0.5367
Epoch [267/1000], Loss: 1.0930, Train error: 0.5427, Test error: 0.5367
Epoch [268/1000], Loss: 0.9863, Train error: 0.5427, Test error: 0.5367
Epoch [269/1000], Loss: 1.0049, Train error: 0.5427, Test error: 0.5367
Epoch [270/1000], Loss: 1.0197, Train error: 0.5427, Test error: 0.5367
Epoch [271/1000], Loss: 1.0451, Train error: 0.5427, Test error: 0.5367
Epoch [272/1000], Loss: 1.1217, Train error: 0.5427, Test error: 0.5367
Epoch [273/1000], Loss: 0.9897, Train error: 0.5427, Test error: 0.5367
Epoch [274/1000], Loss: 1.0655, Train error: 0.5427, Test error: 0.5367
Epoch [275/1000], Loss: 1.0190, Train error: 0.5427, Test error: 0.5367
Epoch [276/1000], Loss: 0.9825, Train error: 0.5427, Test error: 0.5367
Epoch [277/1000], Loss: 1.0521, Train error: 0.5427, Test error: 0.5367
Epoch [278/1000], Loss: 1.0591, Train error: 0.5427, Test error: 0.5367
Epoch [279/1000], Loss: 1.0252, Train error: 0.5427, Test error: 0.5367
Epoch [280/1000], Loss: 1.0463, Train error: 0.5427, Test error: 0.5365
Epoch [281/1000], Loss: 1.0553, Train error: 0.5427, Test error: 0.5365
Epoch [282/1000], Loss: 0.9966, Train error: 0.5427, Test error: 0.5365
Epoch [283/1000], Loss: 1.0899, Train error: 0.5427, Test error: 0.5365
Epoch [284/1000], Loss: 1.0510, Train error: 0.5427, Test error: 0.5365
Epoch [285/1000], Loss: 1.1075, Train error: 0.5427, Test error: 0.5365
Epoch [286/1000], Loss: 1.0540, Train error: 0.5427, Test error: 0.5365
Epoch [287/1000], Loss: 1.0581, Train error: 0.5427, Test error: 0.5365
Epoch [288/1000], Loss: 0.9959, Train error: 0.5427, Test error: 0.5365
Epoch [289/1000], Loss: 1.0227, Train error: 0.5427, Test error: 0.5365
Epoch [290/1000], Loss: 1.0382, Train error: 0.5427, Test error: 0.5365
Epoch [291/1000], Loss: 1.0380, Train error: 0.5427, Test error: 0.5365
Epoch [292/1000], Loss: 1.0553, Train error: 0.5427, Test error: 0.5365
Epoch [293/1000], Loss: 0.9791, Train error: 0.5427, Test error: 0.5365
Epoch [294/1000], Loss: 1.1159, Train error: 0.5427, Test error: 0.5365
Epoch [295/1000], Loss: 1.0404, Train error: 0.5427, Test error: 0.5365
Epoch [296/1000], Loss: 1.0262, Train error: 0.5427, Test error: 0.5365
Epoch [297/1000], Loss: 1.0054, Train error: 0.5427, Test error: 0.5365
Epoch [298/1000], Loss: 1.0656, Train error: 0.5427, Test error: 0.5365
Epoch [299/1000], Loss: 1.0304, Train error: 0.5427, Test error: 0.5365
Epoch [300/1000], Loss: 1.0527, Train error: 0.5427, Test error: 0.5365
Epoch [301/1000], Loss: 1.0352, Train error: 0.5427, Test error: 0.5365
Epoch [302/1000], Loss: 1.0309, Train error: 0.5427, Test error: 0.5365
Epoch [303/1000], Loss: 1.0341, Train error: 0.5427, Test error: 0.5365
Epoch [304/1000], Loss: 1.0858, Train error: 0.5427, Test error: 0.5365
Epoch [305/1000], Loss: 1.1450, Train error: 0.5427, Test error: 0.5365
Epoch [306/1000], Loss: 1.0680, Train error: 0.5427, Test error: 0.5365
Epoch [307/1000], Loss: 1.0342, Train error: 0.5427, Test error: 0.5365
Epoch [308/1000], Loss: 1.1065, Train error: 0.5427, Test error: 0.5365
Epoch [309/1000], Loss: 1.0556, Train error: 0.5426, Test error: 0.5365
Epoch [310/1000], Loss: 1.0827, Train error: 0.5426, Test error: 0.5365
Epoch [311/1000], Loss: 1.0195, Train error: 0.5426, Test error: 0.5365
Epoch [312/1000], Loss: 1.0023, Train error: 0.5426, Test error: 0.5365
Epoch [313/1000], Loss: 1.0821, Train error: 0.5426, Test error: 0.5365
Epoch [314/1000], Loss: 1.0767, Train error: 0.5426, Test error: 0.5365
Epoch [315/1000], Loss: 1.0534, Train error: 0.5426, Test error: 0.5365
Epoch [316/1000], Loss: 1.0461, Train error: 0.5426, Test error: 0.5365
Epoch [317/1000], Loss: 0.9687, Train error: 0.5426, Test error: 0.5365
Epoch [318/1000], Loss: 1.0790, Train error: 0.5426, Test error: 0.5365
Epoch [319/1000], Loss: 1.1125, Train error: 0.5426, Test error: 0.5365
Epoch [320/1000], Loss: 1.0089, Train error: 0.5426, Test error: 0.5365
Epoch [321/1000], Loss: 1.0297, Train error: 0.5426, Test error: 0.5365
Epoch [322/1000], Loss: 1.0584, Train error: 0.5426, Test error: 0.5365
Epoch [323/1000], Loss: 1.0900, Train error: 0.5426, Test error: 0.5365
Epoch [324/1000], Loss: 1.1034, Train error: 0.5426, Test error: 0.5365
Epoch [325/1000], Loss: 1.1530, Train error: 0.5426, Test error: 0.5365
Epoch [326/1000], Loss: 1.0564, Train error: 0.5426, Test error: 0.5367
Epoch [327/1000], Loss: 1.0156, Train error: 0.5426, Test error: 0.5367
Epoch [328/1000], Loss: 1.1072, Train error: 0.5426, Test error: 0.5367
Epoch [329/1000], Loss: 1.0342, Train error: 0.5426, Test error: 0.5367
Epoch [330/1000], Loss: 1.0497, Train error: 0.5426, Test error: 0.5367
Epoch [331/1000], Loss: 1.0206, Train error: 0.5426, Test error: 0.5367
Epoch [332/1000], Loss: 1.0655, Train error: 0.5426, Test error: 0.5367
Epoch [333/1000], Loss: 1.1075, Train error: 0.5426, Test error: 0.5367
Epoch [334/1000], Loss: 1.0085, Train error: 0.5426, Test error: 0.5367
Epoch [335/1000], Loss: 1.0605, Train error: 0.5426, Test error: 0.5367
Epoch [336/1000], Loss: 1.0747, Train error: 0.5426, Test error: 0.5367
Epoch [337/1000], Loss: 1.0147, Train error: 0.5426, Test error: 0.5367
Epoch [338/1000], Loss: 1.0100, Train error: 0.5426, Test error: 0.5367
Epoch [339/1000], Loss: 1.0926, Train error: 0.5426, Test error: 0.5367
Epoch [340/1000], Loss: 1.0464, Train error: 0.5426, Test error: 0.5367
Epoch [341/1000], Loss: 1.0286, Train error: 0.5426, Test error: 0.5367
Epoch [342/1000], Loss: 1.0757, Train error: 0.5426, Test error: 0.5367
Epoch [343/1000], Loss: 1.0603, Train error: 0.5426, Test error: 0.5367
Epoch [344/1000], Loss: 1.0459, Train error: 0.5426, Test error: 0.5367
Epoch [345/1000], Loss: 1.0887, Train error: 0.5426, Test error: 0.5367
